project_id,ucsd_or_industry,mentor_name
0,UCSD,Molly Roberts
1,UCSD,Molly Roberts
2,UCSD,Molly Roberts
3,UCSD,Robert Twomey
4,UCSD,Robert Twomey
5,UCSD,Robert Twomey
6,UCSD,Robert Twomey
7,UCSD,Robert Twomey
8,UCSD,Robert Twomey
9,UCSD,Aaron Fraenkel
10,UCSD,Aaron Fraenkel
11,UCSD,Aaron Fraenkel
12,UCSD,Aaron Fraenkel
13,UCSD,Shannon Ellis
14,UCSD,Shannon Ellis
15,UCSD,Shannon Ellis
16,UCSD,Shannon Ellis
17,UCSD,Shannon Ellis
18,UCSD,Shannon Ellis
19,UCSD,Aaron Fraenkel
20,UCSD,Aaron Fraenkel
21,UCSD,Aaron Fraenkel
22,UCSD,Aaron Fraenkel
23,UCSD,Aaron Fraenkel
24,UCSD,Aaron Fraenkel
25,UCSD,Aaron Fraenkel
26,UCSD,Aaron Fraenkel
27,UCSD,Jurgen Schultze
28,UCSD,Jurgen Schultze
29,UCSD,Jurgen Schultze
30,UCSD,Jurgen Schultze
31,UCSD,Jurgen Schultze
32,UCSD,Jurgen Schultze
33,UCSD,Jack Silberman
34,UCSD,Jack Silberman
35,UCSD,Jack Silberman
36,UCSD,Jack Silberman
37,UCSD,Jack Silberman
38,UCSD,Jack Silberman
39,UCSD,Aaron Fraenkel
40,UCSD,Aaron Fraenkel
41,UCSD,Aaron Fraenkel
42,UCSD,Aaron Fraenkel
43,UCSD,Aaron Fraenkel
44,UCSD,Jingbo Shang
45,UCSD,Jingbo Shang
46,UCSD,Jingbo Shang
47,UCSD,Jingbo Shang
48,UCSD,Jingbo Shang
49,UCSD,Jingbo Shang
50,UCSD,Colin Jemmott
51,UCSD,Colin Jemmott
52,UCSD,Colin Jemmott
53,UCSD,Colin Jemmott
54,UCSD,Colin Jemmott
55,UCSD,Colin Jemmott
56,UCSD,Amarnath Gutpa
57,UCSD,Armin Schwartzman
58,UCSD,Armin Schwartzman
59,UCSD,Yian Ma
60,UCSD,Gal Mishne
61,UCSD,Gal Mishne
62,UCSD,Gal Mishne
63,UCSD,Gal Mishne
64,UCSD,Gal Mishne
65,UCSD,Gal Mishne
66,UCSD,Justin Eldridge
67,UCSD,Justin Eldridge
68,UCSD,Justin Eldridge
69,UCSD,Justin Eldridge
70,UCSD,Justin Eldridge
71,UCSD,Justin Eldridge
72,UCSD,Justin Eldridge
73,UCSD,Aaron Fraenkel
74,UCSD,Aaron Fraenkel
75,UCSD,Aaron Fraenkel
76,UCSD,Aaron Fraenkel
77,UCSD,Aaron Fraenkel
78,UCSD,Shannon Ellis
79,UCSD,Shannon Ellis
80,UCSD,Shannon Ellis
81,UCSD,Shannon Ellis
82,UCSD,Shannon Ellis
83,Viasat,
84,Viasat,
85,Viasat,
86,Viasat,
87,UCSD,Frank Weuthwein
87,UCSD,Javier Duarte
87,UCSD,Frank Weuthwein & Javier Duarte
88,UCSD,Frank Weuthwein
88,UCSD,Javier Duarte
